name,description,batch,team_size,stage,top_company,website,reachability_label
Traverse,Research lab solving non-verifiable work,Winter 2026,1.0,Early,False,https://www.traverse.so,
BetterBasket,Smart grocery pricing with AI,Winter 2024,5.0,Early,False,http://www.betterbasket.com,
Movley,Your e-commerce brand's product quality control department.,Summer 2023,8.0,Early,False,https://movley.com/,
Pave Robotics,Robots that repair roads,Winter 2025,3.0,Early,False,https://pave-robotics.com,
Frigade,AI-powered product assistance for modern software teams,Winter 2023,4.0,Early,False,https://frigade.com,
LLM Stats,Independent AI evaluations lab,Summer 2025,2.0,Early,False,https://llm-stats.com,
mdhub,AI-native operating system for behavioral health clinics.,Summer 2024,11.0,Early,False,https://www.mdhub.ai/,
Copperlane,Agentic Mortgage Origination,Winter 2026,2.0,Early,False,https://www.copperlane.ai,
Tee Time Tommy,Book and manage all of your golf tee times in one place.,Winter 2025,2.0,Early,False,https://teetimetommy.com/,
Yenmo,Secured consumer lending in India,Winter 2024,5.0,Early,False,https://yenmo.in/,
Abel,Transforming document review for litigation teams,Winter 2024,2.0,Early,False,https://www.tryabel.com,
Callback,Effortless AI automation for business operations,Summer 2024,2.0,Early,False,https://getcallback.ai,
Sonauto,Create hit songs with AI,Winter 2024,4.0,Early,False,https://sonauto.ai/,
Rescript,AI Regulatory Analyst for Enterprises,Summer 2024,3.0,Early,False,https://rescript.ai/,
TectoAI,A Platform for AI Governance,Summer 2025,2.0,Early,False,https://www.tecto.ai/,
Inkeep,Build AI Agent teammates and automations in code or no-code,Winter 2023,18.0,Early,False,https://inkeep.com,
Coldreach,Find the best leads with custom intent signals,Winter 2023,3.0,Early,False,https://coldreach.ai/,
Ares Industries,Building low-cost cruise missiles ,Summer 2024,2.0,Early,False,https://aresindustries.com,
Traceloop,Know what your LLM is doing — and why it’s failing,Winter 2023,9.0,Early,False,https://www.traceloop.com,
Scape,AI-native CRM that captures all your conversations,Summer 2024,2.0,Early,False,https://scape.app,
Manufact (formerly mcp-use),Open source SDK & cloud infrastructure for MCP Servers & ChatGPT Apps ,Summer 2025,4.0,Early,False,https://manufact.com,
Karoo,AI native consumer lending platform for underserved Americans,Winter 2025,3.0,Early,False,https://www.karoo.ca,
Opalite Health,Helping Healthcare Providers Speak Any Language ,Winter 2026,3.0,Early,False,http://opalitehealth.com/,
Yondu,Robots to Automate Fulfillment,Winter 2024,12.0,Early,False,https://yondu.ai/,
MochaCare,Agentic Management Service for Care Organizations,Winter 2026,2.0,Early,False,https://www.mochacare.com/,
"Diode Computers, Inc.",Automate circuit board design using AI,Summer 2024,3.0,Growth,False,https://diode.computer,
Sola,Copilot for Robotic Process Automation,Summer 2023,5.0,Growth,False,https://www.sola-solutions.com/,
Channel3,Database of every product on the internet,Summer 2025,5.0,Early,False,https://trychannel3.com,
MouseCat,AI-powered fraud investigations,Winter 2026,2.0,Early,False,https://www.mousecat.ai,
Line.Build,Incentives and financing for energy efficiency upgrades,Summer 2023,3.0,Early,False,https://www.line.build/,
Certainly Health,Marketplace to book doctors and avoid surprise bills,Summer 2023,2.0,Early,False,https://certainlyhealth.com,
Maritime Fusion,Fusion reactors for ships,Winter 2025,6.0,Early,False,https://maritimefusion.com,
Milio,B2B-2C real-time account to account payments,Winter 2023,16.0,Early,False,http://www.miliopay.com,
ParadeDB,"Simple, Elastic-quality search for Postgres",Summer 2023,10.0,Early,False,https://paradedb.com,
Henry,Automating Deal Decks for Commercial Real Estate Brokers,Summer 2024,20.0,Growth,False,http://www.henry.ai,
crmCopilot,Give Salesforce the AI upgrade it deserves,Winter 2024,2.0,Early,False,https://www.crmcopilot.co?utm_source=yc,
Maihem,Adaptive AI welding robots for manufacturers of any scale,Winter 2024,3.0,Early,False,https://www.maihem.com,
Coval,Simulation & Evaluation that scales voice and chat AI agents,Summer 2024,10.0,Early,False,https://coval.dev,
Lanesurf,Voice AI for booking freight,Summer 2025,4.0,Early,False,https://www.lanesurf.com/,
ZeroSettle,Drop-in Direct Billing SDK for In-App Purchases,Winter 2026,2.0,Early,False,https://zerosettle.io,
Tesora,AI-Native Underwriting and Actuarial Workflows ,Summer 2025,2.0,Early,False,https://tesora.ai,
Model ML,AI Workspace for Financial Services.,Winter 2024,80.0,Growth,False,https://www.modelml.com/,
Webhound,Long-horizon research agents,Summer 2023,2.0,Early,False,https://webhound.ai,
RiskAngle,AI medical summaries in minutes,Summer 2024,2.0,Early,False,https://www.riskangle.com/,
Understood Care,Healthcare personal assistants for Medicare patients.,Summer 2024,7.0,Early,False,https://understoodcare.com,
Bayesline,Highly customizable and blazingly fast analytics for asset managers.,Summer 2024,3.0,Early,False,https://bayesline.com,
Janet AI,The AI-Native Product Management System,Summer 2025,4.0,Early,False,https://janet.ai,
Pre,The AI accountability agent for startup founders,Summer 2024,2.0,Early,False,https://buildwithpre.com,
Outship,Hire amazing engineers by seeing how they use AI,Winter 2025,3.0,Early,False,https://outship.ai,
Powder,AI Agents for precise document analysis,Winter 2024,6.0,Early,False,https://www.powderfi.com/,
Corelayer,"AI on-call engineer for data-heavy, regulated industries",Winter 2026,3.0,Early,False,https://www.corelayer.com,
Campfire,The AI Native ERP for the fastest growing companies.,Summer 2023,105.0,Growth,False,https://campfire.ai,
Reworkd,The simplest way to extract web data at scale,Summer 2023,1.0,Early,False,https://reworkd.ai,
OpenTools,The API for LLM tool use,Summer 2023,3.0,Early,False,https://opentools.com,
Muffin Data,Modern analytics for CPG brands,Winter 2023,2.0,Early,False,http://www.muffindata.com,
Invitris,Creating new protein-based drugs at scale,Winter 2023,6.0,Early,False,https://invitris.com/,
Xeol,Close your outdated dependency attack vector,Summer 2023,3.0,Early,False,https://www.xeol.io/,
floatingpoint,Post-training data to teach models document work,Winter 2024,,Early,False,https://floatingpoint.ai,
Yoneda Labs,Foundation Model for Chemical Manufacturing,Winter 2024,3.0,Early,False,https://www.yonedalabs.com,
Casca,Make Banking Magical,Summer 2023,28.0,Growth,False,https://www.cascading.ai/,
Clearspace,"Less screen time, more life.",Winter 2023,7.0,Early,False,https://clearspace.org,
G LNK,Simplifying Collaboration for Healthcare Organizations & Professionals,Winter 2025,2.0,Early,False,https://glnkco.com/,
CreatorML,Foundation Model for Human Attention,Winter 2023,6.0,Early,False,https://creatorml.com/,
Aether,AI sales platform for home services,Winter 2024,8.0,Early,False,https://www.tryaether.co/,
Invaria,The next generation logging and observability platform,Summer 2024,3.0,Early,False,https://invaria.com,
Focal,AI video creation tool for TV shows and movies,Winter 2024,2.0,Early,False,https://focalml.com,
Woz,Claude Code plugin that reduces token consumption and cost by 50%,Winter 2025,8.0,Early,False,https://www.wozcode.com/,
Ultra,"Practical, general-purpose robots for repetitive industrial tasks",Summer 2024,4.0,Early,False,https://ultra.tech,
Cuckoo Labs,Real-time AI translator for global sales and marketing,Winter 2025,2.0,Early,False,https://www.cuckoo.so/,
Voicepanel,AI agents for customer research,Winter 2024,5.0,Early,False,https://voicepanel.com,
Indemni,Cargo Theft and Fraud Prevention Platform,Winter 2024,7.0,Early,False,http://www.indemni.com,
Cartage,Autonomous freight coordination,Summer 2024,12.0,Early,False,https://cartage.ai,
Plutis,,Winter 2023,2.0,Early,False,https://plutis.io,
Interlock,We are still in stealth mode.,Winter 2023,2.0,Early,False,https://www.tryinterlock.com/,
Morph,Subagents and tools that improve coding agents,Summer 2023,3.0,Early,False,https://morphllm.com,
AxionOrbital Space,Foundation models for 24/7 Earth Observation,Winter 2026,2.0,Early,False,https://axionorbital.space/,
Saturn,Compliance and back office workflows for Wealth Managers.,Summer 2024,18.0,Growth,False,https://www.SaturnOS.com,
Stormy AI,Al platform that makes social marketing as easy as running a Google…,Summer 2025,5.0,Early,False,https://stormy.ai,
Infinite,Global B2B Stablecoin Processor,Winter 2025,4.0,Early,False,https://infinite.dev,
Carousel Technologies,AI Assistant for Excel,Winter 2024,4.0,Early,False,https://usecarousel.com,
FurtherAI,AI Workforce for the Insurance Industry,Winter 2024,36.0,Growth,False,https://www.furtherai.com/,
Decohere,Real-time generative AI,Winter 2023,4.0,Early,False,https://decohere.ai,
Clad,Project management software for building infrastructure.,Winter 2023,7.0,Early,False,https://withclad.com/,
finbar,The AI investment analyst,Winter 2025,4.0,Early,False,https://finbar.com,
Thunder Compute,The world's cheapest GPU cloud,Summer 2024,4.0,Early,False,https://www.thundercompute.com,
Skyhook,"PaaS-like experience with the power of Kubernetes, on your cloud",Winter 2023,7.0,Early,False,https://skyhook.io,
Cardinal,Your AI product backlog,Winter 2023,3.0,Early,False,http://cardinalapp.io,
Lilac,We automatically monetize idle GPUs,Summer 2025,4.0,Early,False,https://getlilac.com,
Ruby Card,Neobank for e-commerce businesses,Winter 2023,3.0,Early,False,https://www.spendruby.com,
Capitol AI,Capitol: the sovereign operating system for intelligence.,Summer 2024,11.0,Growth,False,https://www.capitol.ai/,
Orchid,AI-powered EHR for independent mental health professionals,Winter 2023,4.0,Early,False,https://orchid.health,
Cifrato,AI Accountant for Accounting Firms,Winter 2025,13.0,Early,False,https://cifrato.ai,
pap!,"Agents that earn consumers dollars when they shop, travel, and live.",Summer 2024,3.0,Early,False,https://joinpap.com/,
Miyagi Labs,AI tutors for exam prep,Winter 2025,2.0,Early,False,https://miyagilabs.ai,
Marr Labs,AI-voice agents that are indistinguishable from humans.,Winter 2024,9.0,Early,False,https://www.marrlabs.com/,
Airgoods,Wholesale marketplace for food & beverage,Summer 2023,10.0,Early,False,https://airgoods.com/,
ReJot,We turn complex API integrations into drop‑in full‑stack libraries ,Winter 2025,2.0,Early,False,https://rejot.dev,
Quetzal,"Simple, LLM-first translation and internationalization for software",Summer 2024,2.0,Early,False,https://getquetzal.com/,
SuperKalam,AI-Powered Super Mentor for Test Prep,Winter 2023,20.0,Early,False,https://superkalam.com,
Arini,AI receptionist for dentists,Winter 2024,17.0,Early,False,https://www.arini.ai,
Chamber,The AIOps Agent for ML Teams,Winter 2026,4.0,Early,False,https://www.usechamber.io,
Serial,Root cause manufacturing issues in seconds,Winter 2023,2.0,Early,False,https://www.serial.io/,
Carma,The AI Operating System For Modern Fleets.,Winter 2024,15.0,Early,False,https://www.joincarma.com/,
Proximitty,AI operating system for commercial loans,Winter 2026,2.0,Early,False,https://proximitty.ai,
Lightski,AI Agents for Enterprises,Winter 2023,1.0,Early,False,https://www.lightski.com,
Maven,Payments Infrastructure for Voice Agents,Winter 2026,2.0,Early,False,https://trymaven.com,
Mocha,Build and publish web apps in minutes. No coding required.,Summer 2023,7.0,Early,False,https://getmocha.com,
malibou,the first all-in-one payroll and HR software for French SMBs,Winter 2024,2.0,Early,False,https://www.malibou.co,
OpenSight,AI-powered customer support automation for fast-growing companies,Winter 2023,3.0,Early,False,https://www.opensight.ai,
Bubble Lab,"Prompt once, automate forever.",Winter 2026,2.0,Early,False,https://bubblelab.ai/,
Verse Therapy,Connecting All Ages with Speech Language Pathologists,Winter 2024,3.0,Early,False,https://versetherapy.com,
Polar,The smarter way to manage USD earnings globally,Winter 2024,2.0,Early,False,https://www.polarfi.com,
Flex,Stripe for HSA/FSA payments,Summer 2023,8.0,Growth,False,https://www.withflex.com/shop,
Syntra,Medical chart and claim review ,Summer 2024,8.0,Early,False,https://www.syntra.com,
Minded,Cursor for AI Agents,Summer 2023,2.0,Early,False,https://www.minded.com/,
Typa,The content engine that wins attention and drives growth.,Summer 2024,2.0,Early,False,https://typa.ai,
Kobalt Labs,AI-powered risk and compliance for financial institutions,Summer 2023,9.0,Growth,False,https://www.kobaltlabs.com/,
Inventive AI,AI Agents For RFP and Questionnaire Response Automation ,Summer 2023,12.0,Early,False,https://www.inventive.ai/,
PathPilot,AI Agents for Lending Operations,Summer 2024,3.0,Early,False,https://www.getpathpilot.com/,
Propaya,AI commercial lease abstractions and review,Summer 2024,2.0,Early,False,https://www.propaya.com,
Kenley,AI Agents for Advisory & Financial Services.,Summer 2024,6.0,Early,False,https://kenley.ai/,
FuseAI,The #1 AI Platform for Outbound Sales.,Winter 2025,12.0,Early,False,https://tryfuse.ai/,
Ligo Biosciences,Enzyme design models.,Summer 2024,4.0,Early,False,https://www.ligo.bio,
CLODO,Planet-scale people discovery.,Summer 2025,2.0,Early,False,https://clodo.ai,
Rocketable,The AI Maximalist Software Holding Company,Winter 2025,2.0,Early,False,https://www.rocketable.com,
Soff,AI Agents for Distributors,Summer 2024,6.0,Early,False,https://soff.ai,
Remy AI,Documenting human dexterity ,Winter 2026,2.0,Early,False,https://www.tryremy.ai/,
Clarum,"AI agents for private market diligence, monitoring, and reporting",Winter 2024,2.0,Early,False,https://clarum.ai,
Craftwork,Digital-native home painting franchise,Summer 2023,50.0,Early,False,https://craftwork.com/,
Resend,Email for developers,Winter 2023,23.0,Growth,False,https://resend.com,
Readily,AI Compliance Platform for Healthcare Organizations,Summer 2023,14.0,Growth,False,https://readily.co,
ZeroEntropy,High accuracy search API over unstructured data.,Winter 2025,2.0,Early,False,https://www.zeroentropy.dev,
BiteSight,The video-first food delivery app. Imagine TikTok meets DoorDash.,Winter 2024,4.0,Early,False,http://bitesight.com,
Designbase,Design and build great interfaces,Winter 2023,3.0,Early,False,https://www.designbase.com/,
Boundary,The programming language for AI,Winter 2023,10.0,Early,False,https://www.boundaryml.com,
Givefront,Nonprofit Financial Management,Winter 2024,4.0,Early,False,https://givefront.com,
Ariglad,Knowledge base maintenance on auto-pilot,Winter 2023,4.0,Early,False,https://www.ariglad.com/,
Converge,All-in-one marketing measurement for B2C,Summer 2023,6.0,Early,False,http://www.runconverge.com,
Perspectives Health,Automating away admin for behavioral health clinics,Summer 2025,4.0,Early,False,https://perspectiveshealth.ai/,
21st,Infrastructure and UI building blocks for the agentic internet,Winter 2026,3.0,Early,False,https://21st.dev,
sitefire,Marketing suite for the agentic web,Winter 2026,2.0,Early,False,https://sitefire.ai,
Sublingual,Daily productivity tracker,Winter 2025,2.0,Early,False,https://sublingual.ai/,
Permitify,AI co-pilot for building plan review and building code compliance,Winter 2025,2.0,Early,False,https://permitify.com,
Adam,AI Powered CAD,Winter 2025,4.0,Early,False,https://adam.new/,
Sample,Flexible systems for clinical reasoning.,Winter 2024,5.0,Early,False,https://samplehc.com,
Relace,Models and infra for coding agents,Winter 2023,7.0,Early,False,https://relace.ai,
ContextFort,Visibility and Controls for Browser Agents,Summer 2025,2.0,Early,False,https://contextfort.ai/,
Compresr,LLM context compression for better accuracy,Winter 2026,4.0,Early,False,https://compresr.ai,
Caseflood.ai,How elite law firms do intake,Winter 2025,2.0,Early,False,https://caseflood.ai,
Vantel,AI Platform for Commercial Insurance Brokerages,Winter 2025,5.0,Early,False,https://vantel.com/,
Consul,The Stablecoin Payouts Platform,Winter 2024,2.0,Early,False,https://onconsul.com,
Pulse,Production-grade unstructured document extraction,Summer 2024,20.0,Early,False,https://www.runpulse.com/,
Educato,Worldwide exam-prep platform,Summer 2024,5.0,Early,False,https://www.educato.com/,
Vibrant Labs,RL environments for long horizon AI Agents,Winter 2024,2.0,Early,False,https://vibrantlabs.com/,
Lilac Labs,We automate the person taking orders at drive-thrus with a voice AI,Summer 2024,4.0,Early,False,https://www.drive-thru.ai/,
Edge,The ultimate IP assistant.,Winter 2023,2.0,Early,False,https://withedge.com,
nCompass Technologies,Optimize performance on GPUs - 10x faster,Winter 2024,3.0,Early,False,https://www.ncompass.tech,
HeroUI,The UI framework for AI agents and developers to build beautiful apps.,Summer 2024,5.0,Early,False,https://heroui.com,
Zelos Cloud,The Data Platform for Mission‑Critical Systems,Summer 2023,3.0,Early,False,https://zeloscloud.io,
