name,description,batch,team_size_bucket,is_hiring,industries,website,reachability_label
End Close,AI powered reconciliation for high-volume payments companies,Winter 2026,1-5,FALSE,"B2B, Finance and Accounting",https://endclose.com,1
Waza,B2B payments platform for emerging markets.,Winter 2023,16-30,FALSE,"Fintech, Payments",https://waza.co/,0
Tamarind Bio,AI Inference Platform for Drug Discovery,Winter 2024,6-15,TRUE,B2B,https://www.tamarind.bio,1
Automorphic,Infuse knowledge into language models with just 10 samples,Summer 2023,1-5,FALSE,B2B,https://automorphic.ai/,1
Verne Robotics,AI models that teach robots new skills in hours,Summer 2025,6-15,TRUE,"Industrials, Manufacturing and Robotics",https://vernerobotics.com/,0
Aidy,Mobile app helping people better manage chronic health conditions,Winter 2024,1-5,FALSE,"Healthcare, Consumer Health and Wellness",https://www.aidyhq.com/,0
Stardrift,AI travel planner,Summer 2024,1-5,TRUE,"Consumer, Travel, Leisure and Tourism",https://stardrift.ai,1
Latent,Medical language models to automate healthcare operations,Winter 2023,30+,TRUE,"Healthcare, Healthcare IT",https://latenthealth.com,0
Resend,Email for developers,Winter 2023,16-30,FALSE,"B2B, Engineering, Product and Design",https://resend.com,0
hud,Platform for building RL environments and evals,Winter 2025,6-15,TRUE,"B2B, Engineering, Product and Design",https://www.hud.ai,1
Littio,Dollar banking for people in Latin America,Winter 2023,30+,FALSE,"Fintech, Consumer Finance",https://www.littio.co/,0
Yoneda Labs,Foundation Model for Chemical Manufacturing,Winter 2024,1-5,TRUE,B2B,https://www.yonedalabs.com,1
Synch,Supercharging Sales,Summer 2023,1-5,FALSE,"B2B, Sales",https://www.withsynch.com/,1
Retape,AI workers for debt settlement,Winter 2023,1-5,FALSE,"B2B, Sales",https://www.retape.ai/,1
DrDroid,Your best friend in production.,Winter 2023,6-15,FALSE,"B2B, Engineering, Product and Design",https://drdroid.io/,1
DeepGrove,Frontier Intelligence. On Any Device.,Summer 2025,1-5,TRUE,B2B,https://deepgrove.ai,1
Pipeshift,Inference for real-time agents,Summer 2024,6-15,FALSE,"B2B, Infrastructure",https://pipeshift.com,1
Riviera,AI Employees for Hotels,Winter 2025,1-5,FALSE,B2B,https://www.withriviera.com,1
Axal,AI Workers for Manufacturing and Distribution,Winter 2025,6-15,FALSE,B2B,https://www.axal.ai/,1
Agentin AI,AI Agents that automate enterprise software processes,Winter 2025,1-5,FALSE,B2B,https://www.agentin.ai,1
Vetnio,AI Copilot that automates admin work for veterinary professionals,Winter 2025,6-15,FALSE,"B2B, Productivity",https://vetnio.com/,1
Fiber AI,"The freshest data APIs for AI sales, recruiting, & growth products",Summer 2023,6-15,FALSE,B2B,https://www.fiber.ai/apis,1
Bland AI,The enterprise platform for AI phone calls,Summer 2023,30+,TRUE,"B2B, Infrastructure",https://bland.com,0
Spaceium Inc,In-Space Refueling,Summer 2024,unknown,TRUE,"Industrials, Aviation and Space",https://spaceium.com,0
Cenote,AI agents that convert and retain patients for digital clinics,Winter 2025,1-5,FALSE,Healthcare,https://www.joincenote.com/,1
Modelence,The full-stack platform for agentic development,Summer 2025,1-5,FALSE,"B2B, Infrastructure",https://modelence.com,1
SuperKalam,AI-Powered Super Mentor for Test Prep,Winter 2023,16-30,TRUE,Education,https://superkalam.com,0
Edge,The ultimate IP assistant.,Winter 2023,1-5,FALSE,"B2B, Legal",https://withedge.com,1
Opslane,Deploy to Kubernetes in minutes,Summer 2024,1-5,FALSE,"B2B, Infrastructure",https://opslane.com,1
Cardinal Gray,Automating lenders' interactions with the DMV,Summer 2023,6-15,TRUE,"Fintech, Credit and Lending",https://www.cardinalgray.com/,1
Forge,Getting companies refunds on tariffs & duties,Winter 2024,1-5,FALSE,"B2B, Supply Chain and Logistics",https://www.forgehq.com/,1
Cofia,AI automations that implement themselves,Winter 2026,1-5,TRUE,"B2B, Productivity",https://cofia.ai,1
Pure,Marketplace for Rare Coins & Precious Metals,Summer 2023,6-15,TRUE,Consumer,https://www.collectpure.com/,1
Normal,Testing and certifying the hardware of the future,Summer 2025,1-5,FALSE,Industrials,https://www.normalfactory.com/,0
Ruvo,The Global Dollar App for Brazil,Summer 2025,6-15,FALSE,Fintech,https://ruvo.com/,1
NanoCorp,Autonomous Companies Run by AI Working While You Sleep.,Winter 2024,1-5,FALSE,Consumer,https://nanocorp.so,1
Simbie AI,We get patients to their next appointment,Summer 2023,1-5,FALSE,Healthcare,http://www.simbie.ai,1
Design Arena,World's largest crowdsourced benchmark for AI-generated design,Summer 2025,1-5,FALSE,Consumer,https://www.designarena.ai/,1
ZeroPath,Automatically find and fix your software vulnerabilities,Summer 2024,1-5,FALSE,"B2B, Security",https://zeropath.com,1
Cargo,Build your GTM workforce,Summer 2023,6-15,TRUE,"B2B, Sales",https://getcargo.io,1
Sonarly,Makes software self-healing,Winter 2026,1-5,FALSE,"B2B, Engineering, Product and Design",https://sonarly.com,1
Orbio Earth,Tracking methane emissions with satellites,Summer 2023,6-15,FALSE,"B2B, Analytics",https://www.orbio.earth/,1
Fenrock AI,AI agents for banking back office,Winter 2026,1-5,FALSE,"Fintech, Banking and Exchange",https://fenrock.ai/,1
Nectar,Manage energy cost & usage with AI for facility & sustainability teams,Summer 2023,6-15,FALSE,"Industrials, Energy",https://nectarclimate.com,0
Orchid,AI-powered EHR for independent mental health professionals,Winter 2023,1-5,TRUE,Healthcare,https://orchid.health,1
OneGrep,AI Agent for DevOps Workflow Automation,Winter 2024,1-5,FALSE,"B2B, Engineering, Product and Design",https://www.onegrep.dev,1
OneText,Frictionless payments via SMS,Winter 2023,6-15,FALSE,"Fintech, Payments",https://onetext.com,1
RealRoots,AI social app for women,Summer 2025,6-15,FALSE,"Consumer, Social",http://www.therealroots.com,1
Moritz,Global AI-native law firm handling legal work with same-day turnaround,Winter 2026,6-15,TRUE,"B2B, Legal",http://moritzlegal.com/,1
inBuild,Workflow Automation for Construction Finance,Winter 2023,6-15,TRUE,B2B,https://www.inbuild.ai/,1
Nozomio,index anything. search it with ai.,Summer 2025,1-5,TRUE,"B2B, Engineering, Product and Design",https://www.trynia.ai/,1
Draftaid,Go from 3D models to CAD drawings using AI,Winter 2024,6-15,TRUE,"B2B, Engineering, Product and Design",https://draftaid.io/,1
TaxGPT,AI tax assistant for professionals and businesses,Summer 2024,30+,TRUE,"B2B, Finance and Accounting",https://www.taxgpt.com,0
Forum,The first exchange to trade on attention.,Winter 2026,1-5,FALSE,Fintech,https://www.forum.market/,1
Embedder,AI Agents for Firmware,Summer 2025,1-5,TRUE,"B2B, Engineering, Product and Design",https://www.embedder.com,1
Dedalus Labs,Compute substrate for AI agents,Summer 2025,6-15,TRUE,"B2B, Infrastructure",https://www.dedaluslabs.ai/,1
Decohere,Real-time generative AI,Winter 2023,1-5,FALSE,"Consumer, Content",https://decohere.ai,1
Deep24,AI coach for your entire life,Winter 2024,1-5,TRUE,Education,https://deep24.com,1
Paradigm,A reimagined workspace with AI at its core,Winter 2024,6-15,TRUE,B2B,https://www.paradigmai.com/,1
Polymath,Simulation environments to train & evaluate long-horizon AI agents,Winter 2026,1-5,TRUE,B2B,https://polymathlabs.ai/,1
Stempad,Notion for science,Summer 2024,1-5,FALSE,"B2B, Productivity",https://www.stempad.com,1
Proxis,"The platform for enterprise AI agent automations, starting with email.",Summer 2024,1-5,FALSE,B2B,https://www.proxis.ai/,1
AgentCollect,B2B debt collection powered by AI agents,Summer 2023,30+,TRUE,Fintech,https://www.agentcollect.com,0
MinusX,AI Data Scientist for Jupyter and Metabase,Summer 2024,1-5,FALSE,"B2B, Analytics",https://minusx.ai,1
Clarum,"AI agents for private market diligence, monitoring, and reporting",Winter 2024,1-5,FALSE,"B2B, Finance and Accounting",https://clarum.ai,1
Wafer,AI that makes AI fast,Summer 2025,6-15,TRUE,"B2B, Engineering, Product and Design",https://www.wafer.ai,1
Veritus,AI agents for the consumer lending industry,Summer 2025,6-15,TRUE,"Fintech, Credit and Lending",https://www.veritus.com,1
Panoptive,The oversight engine for clinical trials,Summer 2025,1-5,TRUE,B2B,https://www.panoptive.com,1
TamLabs,AI for Professional Services,Winter 2025,1-5,FALSE,"B2B, Productivity",https://tamlabs.ai,1
Parea,"Test, evaluate & observe your LLM applications",Summer 2023,1-5,FALSE,"B2B, Operations",https://www.parea.ai,1
Phonely,AI call centers,Summer 2024,6-15,TRUE,B2B,https://phonely.ai,1
CellType,The agentic drug company. We simulate human biology.,Winter 2026,1-5,TRUE,"Healthcare, Drug Discovery and Delivery",https://www.celltype.com,1
Candor,Insider Threat for the Modern Enterprise,Winter 2025,1-5,TRUE,"B2B, Security",https://candor.security/,1
Boundary,The programming language for AI,Winter 2023,6-15,TRUE,B2B,https://www.boundaryml.com,1
Maven,Payments Infrastructure for Voice Agents,Winter 2026,1-5,FALSE,"B2B, Infrastructure",https://trymaven.com,1
Sennu AI,We turn traditional companies into AI companies,Winter 2025,1-5,FALSE,B2B,https://www.sennu.ai,1
Metofico,No Code Data Analysis for Life Science Research,Winter 2024,1-5,FALSE,"B2B, Engineering, Product and Design",https://metofico.com/,1
Laminar,Understand why your AI agent breaks. Iterate fast to fix it.,Summer 2024,6-15,FALSE,"B2B, Engineering, Product and Design",https://laminar.sh,1
Senso,Control what AI says about you,Winter 2024,6-15,TRUE,B2B,http://www.senso.ai,1
SchemeFlow,AI Report Generation for Engineering & Environmental Review,Summer 2024,1-5,FALSE,Real Estate and Construction,https://www.schemeflow.com,1
Trim,A foundation model for physics.,Winter 2025,1-5,FALSE,"B2B, Engineering, Product and Design",https://trimresearch.com,1
Ecliptor,AI and Embeddings.,Winter 2024,1-5,FALSE,"B2B, Sales",https://ecliptor.ai,1
Crosslayer Labs,"Protect, monitor and defend your Internet presence",Winter 2026,1-5,FALSE,"B2B, Security",https://www.crosslayerlabs.com/,1
Structured Labs,The publishing layer for the agentic internet,Summer 2023,1-5,TRUE,"B2B, Engineering, Product and Design",https://www.structuredlabs.com/,1
Pollinate,AI Agents for the supply chain.,Winter 2026,1-5,FALSE,"B2B, Supply Chain and Logistics",https://www.pollinate.tech/,1
Corsair,Integration Layer for AI Agents,Winter 2025,1-5,FALSE,"B2B, Engineering, Product and Design",https://www.corsair.dev,1
Praxim,The agentic AI Word editor,Winter 2025,1-5,FALSE,"B2B, Productivity",https://www.praxim.ai/,1
Village Labs,Helping America's businesses become employee owned,Summer 2024,1-5,FALSE,"B2B, Human Resources",https://villagelabs.app/,1
Spott,AI-native ATS/CRM for recruiting firms,Winter 2025,6-15,TRUE,"B2B, Recruiting and Talent",https://spott.io,1
Omnistrate,Transform any software to multi-cloud SaaS in minutes not years,Winter 2023,6-15,TRUE,B2B,http://www.omnistrate.com,1
Omnara,Mobile & Web Interface for Claude Code & Codex,Summer 2025,1-5,FALSE,"B2B, Engineering, Product and Design",https://omnara.com,1
Corvera,AI agent workforce for CPG back-office,Winter 2026,1-5,FALSE,"B2B, Operations",https://www.corvera.ai/,1
Continue,Quality control for your software factory,Summer 2023,1-5,FALSE,"B2B, Engineering, Product and Design",https://continue.dev,1
Andromeda Surgical,Autonomous surgical robots,Summer 2023,6-15,TRUE,"Healthcare, Medical Devices",http://www.andromedasurgical.com,0
Mecha Health,Foundation models to automate x-ray analysis for radiologists,Winter 2025,1-5,FALSE,Healthcare,https://www.mecha-health.ai/,1
Callback,Effortless AI automation for business operations,Summer 2024,1-5,FALSE,"B2B, Operations",https://getcallback.ai,1
Ångström AI,Gen AI molecular simulations that reproduce wetlab results,Summer 2024,1-5,FALSE,"Healthcare, Drug Discovery and Delivery",https://www.angstrom-ai.com,0
Momentic,The AI-native automated testing platform,Winter 2024,6-15,TRUE,"B2B, Engineering, Product and Design",https://momentic.ai,1
PAX Markets,"More 𝛼, less latency: exchange and HFT on one chip.",Winter 2025,6-15,TRUE,"Fintech, Banking and Exchange",https://pax.markets/,1
SafetyKit,"AI agents for risk, compliance, and safety",Summer 2023,6-15,TRUE,B2B,https://www.safetykit.com/,1
Epsilon,AI Search Engine for Academic Research,Winter 2023,1-5,FALSE,Education,https://www.epsilon-ai.com,1
Junction Bioscience,AI Hypothesis Engine for Molecular Discovery,Winter 2024,1-5,FALSE,"Healthcare, Therapeutics",https://www.junction.bio/,0
DreamRP,Tech and platforms for human creators and the entertainment industry,Summer 2024,1-5,FALSE,Consumer,https://www.dreamrp.com/,1
Skyhook,"PaaS-like experience with the power of Kubernetes, on your cloud",Winter 2023,6-15,FALSE,"B2B, Engineering, Product and Design",https://skyhook.io,1
Ariglad,Knowledge base maintenance on auto-pilot,Winter 2023,1-5,FALSE,"B2B, Operations",https://www.ariglad.com/,1
Stillwind,Autonomous Electrical Engineering,Winter 2025,1-5,FALSE,"B2B, Engineering, Product and Design",https://stillwind.ai,1
Argil,The video generation engine for the creator economy,Summer 2024,6-15,FALSE,Consumer,https://www.argil.ai/,1
Navier AI,Agent-Driven Engineering,Winter 2024,6-15,TRUE,"Industrials, Aviation and Space",http://navier.ai,1
Elevate,Automated AI data integrations for roll-ups,Summer 2024,1-5,TRUE,B2B,https://www.useelevate.dev/,1
Ergo,AI agents and unified data layer for revenue teams,Winter 2025,1-5,TRUE,"B2B, Sales",https://joinergo.com,1
Cascade,Distilling Proprietary Intelligence,Winter 2026,1-5,FALSE,"B2B, Infrastructure",https://runcascade.com/,1
Shepherd,Every student's personalized learning assistant,Winter 2024,1-5,FALSE,Education,https://www.shepherd.study,1
Stacksync,Real-time and two-way sync between CRMs and Databases,Winter 2024,16-30,TRUE,"B2B, Engineering, Product and Design",https://www.stacksync.com/,0
Lucent,AI that automatically improves products from user behavior,Winter 2026,1-5,TRUE,B2B,https://lucenthq.com,1
Socratix AI,AI coworkers for fraud and risk teams.,Summer 2025,1-5,TRUE,"B2B, Operations",https://getsocratix.ai,1
HealthKey,AI-powered Patient Identification for Clinical Trials,Winter 2025,6-15,FALSE,"Healthcare, Healthcare IT",https://gethealthkey.com/,0
TectoAI,A Platform for AI Governance,Summer 2025,1-5,FALSE,B2B,https://www.tecto.ai/,1
Artos,"Authoring documents for life sciences in minutes, not months.",Winter 2024,6-15,TRUE,B2B,https://www.artosai.com/,1
Maven Bio,The AI Platform for Life Sciences Intelligence,Summer 2023,6-15,FALSE,B2B,https://mavenbio.com,1
AgentMail,Email Inboxes for AI Agents,Summer 2025,6-15,TRUE,"B2B, Infrastructure",https://agentmail.to,1
Alaan,Modern finance platform for the Middle East,Winter 2023,30+,TRUE,"Fintech, Payments",https://www.alaan.com/,0
Inconvo,Build chat-with-data agents for customer-facing applications,Summer 2023,1-5,FALSE,"B2B, Engineering, Product and Design",https://inconvo.com,1
OffDeal,AI-native investment bank for small businesses,Winter 2024,6-15,TRUE,B2B,https://offdeal.io,1
Ruby Card,Neobank for e-commerce businesses,Winter 2023,1-5,FALSE,Fintech,https://www.spendruby.com,1
AIVideo.com,Superhuman video production as a service,Summer 2023,6-15,TRUE,B2B,https://aivideo.com,1
IcePanel,Design and explain complex software architecture.,Winter 2023,6-15,TRUE,"B2B, Engineering, Product and Design",https://icepanel.io,1
Wayline,AI voice for property managers,Summer 2025,1-5,TRUE,Real Estate and Construction,https://wayline.com,1
Typa,The content engine that wins attention and drives growth.,Summer 2024,1-5,FALSE,"B2B, Marketing",https://typa.ai,1
Locata,AI Referral Automation for Primary Care Clinics,Summer 2025,1-5,TRUE,"Healthcare, Healthcare IT",https://www.locatahealth.com/,1
Docura Health,AI-Native Med-Legal Firm,Winter 2026,1-5,FALSE,Healthcare,https://docurahealth.com,1
Agentive,AI Workspace for Audit & Advisory Firms,Summer 2023,6-15,FALSE,"B2B, Finance and Accounting",https://www.goagentive.com,1
Tabula,Autonomous Accounting Software,Summer 2024,6-15,TRUE,"B2B, Finance and Accounting",https://www.tabula.de,1
DigitalCarbon,Transform Images And Videos Into Immersive 3D With AI,Summer 2024,1-5,FALSE,B2B,https://www.digitalcarbon.ai,1
Mercoa,AI Agent for Billpay platforms to pay invoices with virtual cards,Winter 2023,1-5,TRUE,Fintech,http://mercoa.com,1
Remix,Social media content auto-generated with your existing data,Winter 2026,1-5,FALSE,Consumer,https://remix.re,1
camelAI,AI software engineer that lives on its own computer,Winter 2024,1-5,FALSE,"B2B, Engineering, Product and Design",https://camelai.com/,1
Reform,Workflow automation. Built for logistics.,Winter 2024,6-15,TRUE,"B2B, Supply Chain and Logistics",https://www.reformhq.com,1
Unsloth AI,Open-Source Reinforcement Learning (RL) & Fine-tuning for LLMs.,Summer 2024,6-15,TRUE,"B2B, Engineering, Product and Design",https://unsloth.ai/,1
Alex,Your AI recruiter for interviewing and identifying the best talent,Winter 2024,16-30,TRUE,"B2B, Recruiting and Talent",https://alex.com,0
Freya,Voice AI for Enterprises,Summer 2025,6-15,TRUE,Fintech,https://freyavoice.ai/,1
Didit,Infrastructure for identity and fraud.,Winter 2026,6-15,FALSE,"B2B, Infrastructure",https://didit.me/,1
VideoGen,AI that can create and edit professional videos,Summer 2024,1-5,TRUE,B2B,https://videogen.io,1
Travo,The data infrastructure for real estate,Winter 2026,1-5,TRUE,Real Estate and Construction,https://www.travoai.com/,1
Riverbank,AI-native Red Teaming and Offensive Security,Summer 2025,1-5,FALSE,B2B,https://www.riverbank.sh/,1
Mathos,Ultimate AI Math Problem Solver to Revolutionize Personalized Learning,Winter 2024,1-5,FALSE,Education,https://info.mathos.ai/,1
Playgent,Sandboxes for AI agents,Summer 2025,1-5,FALSE,"Healthcare, Healthcare IT",https://useplaygent.com,1
Epsilla,All-in-one platform to create AI agents with your private knowledge,Summer 2023,1-5,FALSE,"B2B, Infrastructure",https://www.epsilla.com/,1
Chasi,AI Revenue Engine for the Equipment Industry,Winter 2026,1-5,TRUE,B2B,https://chasi.ai/,1
Paragon,The AI Growth Engine for Industrials,Winter 2025,1-5,TRUE,"B2B, Operations",https://www.runparagon.com,1
PathPilot,AI Agents for Lending Operations,Summer 2024,1-5,TRUE,B2B,https://www.getpathpilot.com/,1
Matano,Cloud Native SIEM (alternative to Splunk/Elastic),Winter 2023,1-5,FALSE,"B2B, Security",https://www.matano.dev,1
Glue,The Interface Design Canvas for AI agents,Winter 2026,1-5,FALSE,"B2B, Engineering, Product and Design",https://buildwithglue.com,1
GhostEye,Vulnerability Management for the Human Layer,Summer 2025,1-5,FALSE,"B2B, Security",https://ghosteye.ai,1
Datoric,Responsibly sourced data for multimodal AI,Winter 2026,1-5,FALSE,B2B,https://www.datoric.com,1
Roger,Roger is an AI SDR that automates outbound sales and follows up 24/7.,Summer 2024,1-5,TRUE,"B2B, Sales",https://hireroger.com,1
Stralis Aircraft,Emission free hydrogen electric aircraft,Winter 2023,1-5,FALSE,"Industrials, Aviation and Space",https://stralis.aero/,0
Rebolt,AI-Powered Company OS,Winter 2025,1-5,TRUE,B2B,https://rebolt.ai,1
Juxta,Building a GPS alternative 100x more powerful with no hardware needed.,Summer 2025,unknown,TRUE,B2B,https://juxta.com,1
